id,created_at,status,site,source_type,source_id,first_name,last_name,email,phone,state,zip,trustedform_cert_url,jornaya_lead_id,consent_accepted,consent_accepted_at,consent_disclosure_text,delivery_state,test_capture
"39","2026-09-26T18:09:31.261Z","new","PageFlo Rescue Acceptance 944138","quiz","lp:28","Bugsy","Consent b0926a-emb","bugsy-b0926a-emb@legenex.test","5550100177","CA","78701",,,"yes","2026-09-26T18:09:31.253Z","By checking this box, I agree that PageFlo QA may contact me by phone, text message or email about my request. Message and data rates may apply. Consent is not a condition of purchase.","no-destination","no"
"38","2026-09-26T18:08:34.342Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api R8","bugsy-b0926a-r2-8@legenex.test",,,,,,"yes","2026-09-26T18:08:34.338Z","Bugsy forged: visitor never saw this text.","no-destination","no"
"37","2026-09-26T18:08:33.432Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api R7","bugsy-b0926a-r2-7@legenex.test",,,,,,"not recorded",,,"no-destination","no"
"36","2026-09-26T18:08:32.519Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api R6","bugsy-b0926a-r2-6@legenex.test",,,,,,"yes","2026-09-26T18:08:32.514Z","<img src=x onerror=alert(1)>I agree","no-destination","no"
"35","2026-09-26T18:08:31.598Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api R5","bugsy-b0926a-r2-5@legenex.test",,,,,,"yes","2026-09-26T18:08:31.593Z","By checking this box, I agree that PageFlo QA may contact me by phone, text message or email about my request. Message and data rates may apply. Consent is not a condition of purchase.","no-destination","no"
"32","2026-09-26T17:55:38.691Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Consent b0926a-retry","bugsy-b0926a-retry@legenex.test","5550100177","CA","78701",,,"yes","2026-09-26T17:55:38.669Z","By checking this box, I agree that PageFlo QA may contact me by phone, text message or email about my request. Message and data rates may apply. Consent is not a condition of purchase.","failed","no"
"31","2026-09-26T17:53:17.497Z","new","PageFlo Rescue Acceptance 944138","quiz","25","'=Bugsy1+1","Bugsy Api 9","bugsy-b0926a-api-9@legenex.test","'+15550100888",,,,,"yes","2026-09-26T17:53:17.479Z","'=HYPERLINK(""http://x.invalid"",""bugsy"") csv formula probe","no-destination","no"
"30","2026-09-26T00:33:00.937Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api 8","bugsy-b0926a-api-8@legenex.test",,,,,,"yes","2026-09-26T00:33:00.934Z","Bugsy forged: visitor never saw this text.","no-destination","no"
"29","2026-09-26T00:33:00.037Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api 7","bugsy-b0926a-api-7@legenex.test",,,,,,"not recorded",,,"no-destination","no"
"28","2026-09-26T00:32:59.135Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api 6","bugsy-b0926a-api-6@legenex.test",,,,,,"yes","2026-09-26T00:32:59.132Z","<script>alert('bugsy-xss')</script><img src=x onerror=alert(1)>I agree","no-destination","no"
"27","2026-09-26T00:32:58.217Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Api 5","bugsy-b0926a-api-5@legenex.test",,,,,,"yes","2026-09-26T00:32:58.212Z","By checking this box, I agree that PageFlo QA may contact me.","no-destination","no"
"26","2026-09-26T00:32:22.599Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","Consent b0926a","bugsy-b0926a@legenex.test","5550100177","CA","78701",,,"yes","2026-09-26T00:32:22.578Z","By checking this box, I agree that PageFlo QA may contact me by phone, text message or email about my request. Message and data rates may apply. Consent is not a condition of purchase.","no-destination","no"
"13","2026-09-25T06:28:21.089Z","new","PageFlo Rescue Acceptance 944138","quiz","25","Bugsy","QA Closeout bugsymugkw2g5","pageflo-bugsy-closeout-bugsymugkw2g5@legenex.test","5550100444","CA","78701",,,"not recorded",,,,"no"
